timestamp,open,high,low,close
1547337600000,3588.6,3588.6,3588.6,3588.6
1547341200000,3588.6,3588.6,3588.6,3588.6
1547344800000,3588.6,3588.6,3588.6,3588.6
1547348400000,3588.6,3588.6,3588.6,3588.6
1547352000000,3588.6,3588.6,3588.6,3588.6
1547355600000,3588.6,3588.6,3588.6,3588.6
1547359200000,3588.6,3588.6,3588.6,3588.6
1547362800000,3588.6,3588.6,3588.6,3588.6
1547366400000,3588.6,3588.6,3588.6,3588.6
1547370000000,3588.6,3588.6,3588.6,3588.6
1547373600000,3588.6,3588.6,3588.6,3588.6
1547377200000,3588.6,3588.6,3588.6,3588.6
1547380800000,3588.6,3588.6,3588.6,3588.6
1547384400000,3588.6,3588.6,3588.6,3588.6
1547388000000,3588.6,3588.6,3588.6,3588.6
1547391600000,3588.6,3588.6,3588.6,3588.6
1547395200000,3588.6,3588.6,3588.6,3588.6
1547398800000,3588.6,3588.6,3588.6,3588.6
1547402400000,3588.6,3588.6,3588.6,3588.6
1547406000000,3588.6,3588.6,3588.6,3588.6
1547409600000,3588.6,3588.6,3588.6,3588.6
1547413200000,3588.6,3588.6,3588.6,3588.6
1547416800000,3455.5,3455.6,3445.1,3445.9
1547420400000,3445.9,3454.6,3436.1,3454.6
